IdClaveEdo,IdClaveMun,Descripcion
"30","526","MARTINEZ DE LA TORRE"
"30","527","MEDELLIN"
"30","528","MIAHUATLAN"
"30","529","MINATITLAN"
"30","530","MISANTLA"
"30","531","NAOLINCO"
"30","532","NAUTLA"
"30","533","NOGALES"
"30","534","OMEALCA"
"30","535","ORIZABA"
"30","536","OTATITLAN"
"30","537","OZULUAMA"
"30","538","PANUCO VER"
"30","539","PAPANTLA"
"30","540","PASO DEL MACHO"
"30","541","PASO DE OVEJAS"
"30","542","PEROTE"
"30","543","PLATON SANCHEZ"
"30","544","POZA RICA DE HIDALGO"
"30","545","VIGAS DE RAMIREZ LAS"
"30","546","RAFAEL DELGADO"
"30","547","RIO BLANCO"
"30","548","SALTABARRANCA"
"30","549","SAN ANDRES TUXTLA"
"30","550","SAN JUAN EVANGELISTA"
"30","551","SANTIAGO TUXTLA"
"30","552","TANTOYUCA"
"30","553","TEMPOAL VER"
"30","554","TEOCELO"
"30","555","TEPATLAXCO"
"30","556","JOSE AZUETA"
"30","557","TEZONAPA"
"30","558","TEXISTEPEC"
"30","559","TIERRA BLANCA"
"30","560","TIHUATLAN"
"30","561","TLACOJALPAN"
"30","562","TLACOTALPAN"
"30","563","TLALIXCOYAN"
"30","564","TLAPACOYAN"
"30","565","TOMATLAN"
"30","566","TONAYAN"
"30","567","TUXPAN"
"30","568","TUXTILLA"
"30","569","URSULO GALVAN"
"30","570","VERACRUZ"
"30","571","YANGA"
"30","572","ZENTLA"
"30","573","ZONGOLICA"
"30","574","AMATLAN TUXPAN"
"30","575","CERRO AZUL"
"30","576","CHICONTEPEC"
"30","577","CHINAMPA DE GOROSTIZA"
"30","578","TAMALIN"
"30","579","TAMIAHUA"
"30","580","TANCOCO"
"30","581","TANTIMA"
"30","582","TEMAPACHE"
"30","583","ISLA"
"30","584","CATEMACO"
"30","585","HUILOAPAN DE CUAUHTEMOC"
"31","586","ABALA"
"31","587","ACANCEH"
"31","588","BACA"
"31","589","BOKOBA"
"31","590","CACALCHEN"
"31","591","CANSAHCAB"
"31","592","CONKAL"
"31","593","CUZAMA"
"31","594","CHAPAB"
"31","595","CHICXULUB"
"31","596","CHOCHOLA"
"31","597","DZEMUL"
